"Borough","Hour","Date","Cars_And_Taxis","Motorbikes","Buses_and_Coaches","LGVs","HGVs","All_Vehicles"
"Southwark","09:00:00","2018-09-20",85,2,0,32,1,120
"Sutton","09:00:00","2018-09-20",17,0,0,1,0,18
"Bexley","10:00:00","2018-09-20",624,6,13,118,19,780
"Bromley","10:00:00","2018-09-20",1409,17,62,330,64,1882
"Enfield","10:00:00","2018-09-20",573,6,20,80,9,688
"Hillingdon","10:00:00","2018-09-20",786,8,28,186,118,1126
"Hounslow","10:00:00","2018-09-20",355,4,15,66,6,446
"Lewisham","10:00:00","2018-09-20",19,0,0,5,0,24
"Newham","10:00:00","2018-09-20",205,1,22,47,3,278
"Southwark","10:00:00","2018-09-20",55,2,1,24,1,83
"Sutton","10:00:00","2018-09-20",21,0,0,7,0,28
"Bexley","11:00:00","2018-09-20",576,2,11,120,13,722
"Bromley","11:00:00","2018-09-20",1248,29,61,280,45,1663
"Enfield","11:00:00","2018-09-20",592,2,22,94,7,717
"Hillingdon","11:00:00","2018-09-20",861,4,25,190,115,1195
"Hounslow","11:00:00","2018-09-20",320,9,13,63,10,415
"Lewisham","11:00:00","2018-09-20",16,0,0,2,0,18
"Newham","11:00:00","2018-09-20",199,4,20,35,2,260
"Southwark","11:00:00","2018-09-20",44,1,0,20,3,68
"Sutton","11:00:00","2018-09-20",12,0,0,5,0,17
"Bexley","12:00:00","2018-09-20",592,4,6,99,9,710
"Bromley","12:00:00","2018-09-20",1241,12,58,230,42,1583
"Enfield","12:00:00","2018-09-20",628,4,20,90,7,749
"Hillingdon","12:00:00","2018-09-20",1056,8,30,193,125,1412
"Hounslow","12:00:00","2018-09-20",367,7,13,64,2,453
"Lewisham","12:00:00","2018-09-20",38,1,0,9,0,48
"Newham","12:00:00","2018-09-20",226,8,20,48,2,304
"Southwark","12:00:00","2018-09-20",45,5,0,18,1,69
"Sutton","12:00:00","2018-09-20",13,1,0,8,0,22
"Bexley","13:00:00","2018-09-20",681,7,7,119,18,832
"Bromley","13:00:00","2018-09-20",1413,24,55,252,38,1782
"Enfield","13:00:00","2018-09-20",664,9,20,120,1,814
"Hillingdon","13:00:00","2018-09-20",1249,17,31,186,119,1602
"Hounslow","13:00:00","2018-09-20",387,14,17,77,5,500
"Lewisham","13:00:00","2018-09-20",13,0,0,3,0,16
"Newham","13:00:00","2018-09-20",244,4,18,34,4,304
"Southwark","13:00:00","2018-09-20",61,2,0,29,5,97
"Sutton","13:00:00","2018-09-20",20,0,0,5,0,25
"Bexley","14:00:00","2018-09-20",666,3,8,120,15,812
"Bromley","14:00:00","2018-09-20",1396,30,69,321,40,1856
"Enfield","14:00:00","2018-09-20",739,10,18,121,9,897
"Hillingdon","14:00:00","2018-09-20",1301,19,35,177,106,1638
"Hounslow","14:00:00","2018-09-20",376,7,14,69,4,470
"Lewisham","14:00:00","2018-09-20",23,0,0,4,0,27
"Newham","14:00:00","2018-09-20",299,7,22,59,6,393
"Southwark","14:00:00","2018-09-20",78,1,1,19,3,102
"Sutton","14:00:00","2018-09-20",14,0,0,4,0,18
"Bexley","15:00:00","2018-09-20",787,3,8,108,9,915
"Bromley","15:00:00","2018-09-20",1429,29,49,225,23,1755
"Enfield","15:00:00","2018-09-20",793,11,19,100,3,926
"Hillingdon","15:00:00","2018-09-20",1226,12,23,239,112,1612
"Hounslow","15:00:00","2018-09-20",536,9,14,92,4,655
"Lewisham","15:00:00","2018-09-20",22,1,1,2,0,26
"Newham","15:00:00","2018-09-20",297,5,25,49,1,377
"Southwark","15:00:00","2018-09-20",92,5,4,35,7,143
"Sutton","15:00:00","2018-09-20",20,0,0,3,0,23
"Bexley","16:00:00","2018-09-20",838,14,10,154,6,1022
"Bromley","16:00:00","2018-09-20",1755,28,65,305,19,2172
"Enfield","16:00:00","2018-09-20",778,12,22,123,3,938
"Hillingdon","16:00:00","2018-09-20",1894,19,40,252,98,2303
"Hounslow","16:00:00","2018-09-20",557,13,18,100,4,692
"Lewisham","16:00:00","2018-09-20",30,5,0,9,0,44
"Newham","16:00:00","2018-09-20",301,8,25,37,0,371
"Southwark","16:00:00","2018-09-20",86,7,4,33,2,132
"Sutton","16:00:00","2018-09-20",19,0,0,3,0,22
"Bexley","17:00:00","2018-09-20",881,6,9,90,7,993
"Bromley","17:00:00","2018-09-20",1652,40,63,198,12,1965
"Enfield","17:00:00","2018-09-20",876,10,20,134,6,1046
"Hillingdon","17:00:00","2018-09-20",2190,28,44,257,80,2599
"Hounslow","17:00:00","2018-09-20",721,12,14,61,0,808
"Lewisham","17:00:00","2018-09-20",38,3,0,5,1,47
"Newham","17:00:00","2018-09-20",340,9,24,30,2,405
"Southwark","17:00:00","2018-09-20",110,12,1,24,3,150
"Sutton","17:00:00","2018-09-20",34,0,0,3,0,37
"Bexley","18:00:00","2018-09-20",760,8,14,70,6,858
"Bromley","18:00:00","2018-09-20",1935,38,58,201,20,2252
"Enfield","18:00:00","2018-09-20",868,17,21,127,0,1033
"Hillingdon","18:00:00","2018-09-20",1746,19,32,216,82,2095
"Hounslow","18:00:00","2018-09-20",614,17,12,75,2,720
"Lewisham","18:00:00","2018-09-20",37,5,0,4,0,46
"Newham","18:00:00","2018-09-20",287,10,21,28,0,346
"Southwark","18:00:00","2018-09-20",84,2,1,15,1,103
"Sutton","18:00:00","2018-09-20",49,0,0,2,0,51
"Camden","07:00:00","2018-09-21",847,151,46,428,87,1559
"Croydon","07:00:00","2018-09-21",1358,16,21,288,44,1727
"Haringey","07:00:00","2018-09-21",1149,50,41,481,129,1850
"Havering","07:00:00","2018-09-21",641,11,26,198,12,888
"Islington","07:00:00","2018-09-21",4,6,0,7,1,18
"Lambeth","07:00:00","2018-09-21",1042,112,111,425,39,1729
"Tower Hamlets","07:00:00","2018-09-21",2091,383,50,1023,396,3943
"Wandsworth","07:00:00","2018-09-21",1549,261,76,773,92,2751
"Camden","08:00:00","2018-09-21",798,133,53,317,65,1366
"Croydon","08:00:00","2018-09-21",1514,25,20,307,52,1918
"Haringey","08:00:00","2018-09-21",1352,53,36,475,117,2033
"Havering","08:00:00","2018-09-21",822,4,18,156,21,1021
"Islington","08:00:00","2018-09-21",8,6,0,9,2,25
"Lambeth","08:00:00","2018-09-21",1172,109,93,312,31,1717
"Tower Hamlets","08:00:00","2018-09-21",2308,282,48,905,430,3973
"Wandsworth","08:00:00","2018-09-21",1418,239,87,518,79,2341
"Camden","09:00:00","2018-09-21",779,90,40,343,75,1327
"Croydon","09:00:00","2018-09-21",1420,9,25,222,59,1735
"Haringey","09:00:00","2018-09-21",1349,43,44,478,114,2028
"Havering","09:00:00","2018-09-21",808,9,16,167,26,1026
"Islington","09:00:00","2018-09-21",4,7,0,10,1,22
"Lambeth","09:00:00","2018-09-21",951,72,88,331,42,1484
"Tower Hamlets","09:00:00","2018-09-21",2080,165,29,994,536,3804
"Wandsworth","09:00:00","2018-09-21",1574,160,96,535,102,2467
"Camden","10:00:00","2018-09-21",766,64,40,312,80,1262
"Croydon","10:00:00","2018-09-21",1192,9,25,209,66,1501
"Haringey","10:00:00","2018-09-21",1207,37,49,527,102,1922
"Havering","10:00:00","2018-09-21",691,4,16,175,19,905
"Islington","10:00:00","2018-09-21",12,1,0,10,3,26
"Lambeth","10:00:00","2018-09-21",829,51,79,351,38,1348
"Tower Hamlets","10:00:00","2018-09-21",2032,123,21,943,464,3583
"Wandsworth","10:00:00","2018-09-21",1329,86,65,520,81,2081
"Camden","11:00:00","2018-09-21",805,65,44,343,65,1322
"Croydon","11:00:00","2018-09-21",1022,12,22,219,55,1330
"Haringey","11:00:00","2018-09-21",1288,41,43,528,118,2018
"Havering","11:00:00","2018-09-21",739,3,16,197,24,979
"Islington","11:00:00","2018-09-21",8,5,0,11,1,25
"Lambeth","11:00:00","2018-09-21",805,51,84,308,41,1289
"Tower Hamlets","11:00:00","2018-09-21",2148,140,2,948,499,3737
"Wandsworth","11:00:00","2018-09-21",1380,91,64,535,54,2124
"Camden","12:00:00","2018-09-21",788,66,34,342,61,1291
"Croydon","12:00:00","2018-09-21",1123,8,16,189,50,1386
"Haringey","12:00:00","2018-09-21",1447,64,39,452,99,2101
"Havering","12:00:00","2018-09-21",764,5,14,161,16,960
"Islington","12:00:00","2018-09-21",7,4,0,9,1,21
"Lambeth","12:00:00","2018-09-21",858,60,87,269,33,1307
"Tower Hamlets","12:00:00","2018-09-21",2326,123,15,1001,400,3865
"Wandsworth","12:00:00","2018-09-21",1384,58,55,557,84,2138
"Camden","13:00:00","2018-09-21",781,76,39,311,50,1257
"Croydon","13:00:00","2018-09-21",1047,13,18,201,63,1342
"Haringey","13:00:00","2018-09-21",1306,47,43,466,109,1971
"Havering","13:00:00","2018-09-21",800,6,16,150,6,978
"Islington","13:00:00","2018-09-21",9,1,0,8,0,18
"Lambeth","13:00:00","2018-09-21",892,47,85,310,35,1369
"Tower Hamlets","13:00:00","2018-09-21",2188,153,8,1027,483,3859
"Wandsworth","13:00:00","2018-09-21",1341,63,61,452,50,1967
"Camden","14:00:00","2018-09-21",820,85,45,289,43,1282
"Croydon","14:00:00","2018-09-21",1060,11,16,208,47,1342
"Havering","14:00:00","2018-09-21",786,10,15,178,18,1007
"Islington","14:00:00","2018-09-21",13,1,0,5,0,19
"Lambeth","14:00:00","2018-09-21",1049,40,95,303,21,1508
"Tower Hamlets","14:00:00","2018-09-21",2590,155,10,980,391,4126
"Wandsworth","14:00:00","2018-09-21",1479,64,54,468,50,2115
"Camden","15:00:00","2018-09-21",869,74,37,279,36,1295
"Croydon","15:00:00","2018-09-21",1118,6,17,245,40,1426
"Havering","15:00:00","2018-09-21",992,4,22,195,15,1228
"Islington","15:00:00","2018-09-21",10,1,0,5,0,16
"Lambeth","15:00:00","2018-09-21",1111,47,98,249,16,1521
"Tower Hamlets","15:00:00","2018-09-21",2968,206,11,962,302,4449
"Wandsworth","15:00:00","2018-09-21",1799,60,65,347,35,2306
"Camden","16:00:00","2018-09-21",1104,77,44,301,33,1559
"Croydon","16:00:00","2018-09-21",1084,12,20,220,19,1355
"Havering","16:00:00","2018-09-21",961,9,22,198,4,1194
"Islington","16:00:00","2018-09-21",13,2,0,3,1,19
"Lambeth","16:00:00","2018-09-21",1137,68,93,239,7,1544
"Tower Hamlets","16:00:00","2018-09-21",3088,297,30,1000,242,4657
"Wandsworth","16:00:00","2018-09-21",1946,83,72,304,25,2430
"Camden","17:00:00","2018-09-21",1108,146,42,251,34,1581
"Croydon","17:00:00","2018-09-21",1485,13,27,214,16,1755
"Havering","17:00:00","2018-09-21",1055,8,15,149,5,1232
"Islington","17:00:00","2018-09-21",15,3,0,4,0,22
"Lambeth","17:00:00","2018-09-21",1205,102,96,210,7,1620
"Tower Hamlets","17:00:00","2018-09-21",3338,424,56,758,141,4717
"Wandsworth","17:00:00","2018-09-21",1807,106,48,300,19,2280
"Camden","18:00:00","2018-09-21",1345,109,42,245,36,1777
"Croydon","18:00:00","2018-09-21",1322,17,18,134,13,1504
"Havering","18:00:00","2018-09-21",1009,9,14,131,8,1171
"Islington","18:00:00","2018-09-21",13,6,0,3,0,22
"Lambeth","18:00:00","2018-09-21",1354,81,84,151,7,1677
"Tower Hamlets","18:00:00","2018-09-21",3614,339,47,629,128,4757
"Wandsworth","18:00:00","2018-09-21",2058,106,57,223,20,2464
"Barnet","07:00:00","2018-09-24",840,28,40,228,23,1159
"Bexley","07:00:00","2018-09-24",2045,37,15,529,66,2692
"Croydon","07:00:00","2018-09-24",668,12,16,155,12,863
"Havering","07:00:00","2018-09-24",993,10,44,297,15,1359
"Hillingdon","07:00:00","2018-09-24",160,1,0,29,1,191
"Islington","07:00:00","2018-09-24",63,2,0,39,4,108
"Kensington and Chelsea","07:00:00","2018-09-24",913,118,27,307,46,1411
"Lewisham","07:00:00","2018-09-24",1526,79,99,385,83,2172
"Richmond upon Thames","07:00:00","2018-09-24",51,2,0,13,1,67
"Wandsworth","07:00:00","2018-09-24",42,2,1,4,1,50
"Barnet","08:00:00","2018-09-24",1027,31,39,182,19,1298
"Bexley","08:00:00","2018-09-24",2495,33,14,475,62,3079
"Croydon","08:00:00","2018-09-24",654,9,14,133,23,833
"Havering","08:00:00","2018-09-24",1178,8,32,240,21,1479
"Hillingdon","08:00:00","2018-09-24",241,0,0,45,1,287
"Islington","08:00:00","2018-09-24",98,6,3,40,5,152
"Kensington and Chelsea","08:00:00","2018-09-24",832,87,28,272,76,1295
"Lewisham","08:00:00","2018-09-24",1569,74,107,364,87,2201
"Richmond upon Thames","08:00:00","2018-09-24",168,2,0,14,1,185
"Wandsworth","08:00:00","2018-09-24",68,0,0,9,0,77
"Barnet","09:00:00","2018-09-24",737,18,31,160,10,956
"Bexley","09:00:00","2018-09-24",2235,26,18,545,102,2926
"Croydon","09:00:00","2018-09-24",650,10,17,102,9,788
"Havering","09:00:00","2018-09-24",990,8,38,255,24,1315
"Hillingdon","09:00:00","2018-09-24",165,0,0,44,0,209
"Islington","09:00:00","2018-09-24",119,5,1,34,11,170
"Kensington and Chelsea","09:00:00","2018-09-24",786,55,25,292,78,1236
"Lewisham","09:00:00","2018-09-24",1599,71,141,466,138,2415
"Richmond upon Thames","09:00:00","2018-09-24",74,0,0,12,2,88
"Wandsworth","09:00:00","2018-09-24",25,2,0,2,2,31
"Barnet","10:00:00","2018-09-24",719,14,32,169,17,951
"Bexley","10:00:00","2018-09-24",2180,20,13,533,62,2808
"Croydon","10:00:00","2018-09-24",495,6,14,94,11,620
"Havering","10:00:00","2018-09-24",829,3,35,192,27,1086
"Hillingdon","10:00:00","2018-09-24",113,1,0,26,0,140
"Islington","10:00:00","2018-09-24",88,5,2,57,10,162
"Kensington and Chelsea","10:00:00","2018-09-24",756,41,27,370,76,1270
"Lewisham","10:00:00","2018-09-24",1398,36,102,533,119,2188
"Richmond upon Thames","10:00:00","2018-09-24",50,0,0,7,1,58
"Wandsworth","10:00:00","2018-09-24",21,1,0,8,4,34
"Barnet","11:00:00","2018-09-24",677,23,31,176,18,925
"Bexley","11:00:00","2018-09-24",1918,27,19,450,56,2470
"Croydon","11:00:00","2018-09-24",500,5,13,84,15,617
"Havering","11:00:00","2018-09-24",966,8,37,213,24,1248
"Hillingdon","11:00:00","2018-09-24",75,0,0,15,2,92
"Islington","11:00:00","2018-09-24",70,12,2,65,7,156
"Kensington and Chelsea","11:00:00","2018-09-24",758,36,20,344,90,1248
"Lewisham","11:00:00","2018-09-24",1323,34,117,472,115,2061
"Richmond upon Thames","11:00:00","2018-09-24",69,1,0,9,0,79
"Wandsworth","11:00:00","2018-09-24",25,0,0,7,0,32
"Barnet","12:00:00","2018-09-24",784,20,31,151,15,1001
"Bexley","12:00:00","2018-09-24",2356,32,21,432,65,2906
"Croydon","12:00:00","2018-09-24",457,4,15,92,20,588
"Havering","12:00:00","2018-09-24",819,6,32,176,17,1050
"Hillingdon","12:00:00","2018-09-24",57,0,0,14,0,71
"Islington","12:00:00","2018-09-24",67,10,3,50,7,137
"Kensington and Chelsea","12:00:00","2018-09-24",778,33,22,359,111,1303
"Lewisham","12:00:00","2018-09-24",1460,39,125,487,119,2230
"Richmond upon Thames","12:00:00","2018-09-24",49,2,0,13,0,64
"Wandsworth","12:00:00","2018-09-24",34,3,0,11,0,48
"Barnet","13:00:00","2018-09-24",817,18,30,163,22,1050
"Bexley","13:00:00","2018-09-24",2474,23,12,416,76,3001
"Croydon","13:00:00","2018-09-24",488,8,11,90,9,606
"Havering","13:00:00","2018-09-24",922,14,33,209,23,1201
"Hillingdon","13:00:00","2018-09-24",97,1,0,24,0,122
"Islington","13:00:00","2018-09-24",75,14,1,47,7,144
"Kensington and Chelsea","13:00:00","2018-09-24",706,47,24,363,110,1250
"Lewisham","13:00:00","2018-09-24",1235,40,110,461,103,1949
"Richmond upon Thames","13:00:00","2018-09-24",37,0,0,6,0,43
"Wandsworth","13:00:00","2018-09-24",25,4,0,6,0,35
"Barnet","14:00:00","2018-09-24",781,27,35,153,17,1013
"Bexley","14:00:00","2018-09-24",2223,37,21,492,60,2833
"Croydon","14:00:00","2018-09-24",460,2,10,65,7,544
"Havering","14:00:00","2018-09-24",1015,10,40,220,12,1297
"Hillingdon","14:00:00","2018-09-24",140,3,0,28,0,171
"Islington","14:00:00","2018-09-24",78,10,2,52,5,147
"Kensington and Chelsea","14:00:00","2018-09-24",708,32,34,365,95,1234
"Lewisham","14:00:00","2018-09-24",1319,51,110,473,107,2060
"Richmond upon Thames","14:00:00","2018-09-24",46,1,0,7,0,54
"Wandsworth","14:00:00","2018-09-24",33,3,0,4,0,40
"Barnet","15:00:00","2018-09-24",942,28,34,143,5,1152
"Bexley","15:00:00","2018-09-24",2325,45,21,410,60,2861
"Croydon","15:00:00","2018-09-24",544,3,9,86,9,651
"Havering","15:00:00","2018-09-24",907,16,34,216,21,1194
"Hillingdon","15:00:00","2018-09-24",226,1,1,29,2,259
"Islington","15:00:00","2018-09-24",88,10,6,41,2,147
"Kensington and Chelsea","15:00:00","2018-09-24",728,54,32,379,87,1280
"Lewisham","15:00:00","2018-09-24",1399,49,111,438,83,2080
"Richmond upon Thames","15:00:00","2018-09-24",91,1,0,8,0,100
"Wandsworth","15:00:00","2018-09-24",36,1,0,5,1,43
"Barnet","16:00:00","2018-09-24",910,24,36,125,5,1100
"Bexley","16:00:00","2018-09-24",2866,38,27,591,23,3545
"Croydon","16:00:00","2018-09-24",675,6,16,128,6,831
"Havering","16:00:00","2018-09-24",1075,17,41,271,9,1413
"Hillingdon","16:00:00","2018-09-24",134,1,0,24,0,159
"Islington","16:00:00","2018-09-24",87,12,3,37,4,143
"Kensington and Chelsea","16:00:00","2018-09-24",821,84,33,344,53,1335
"Lewisham","16:00:00","2018-09-24",1495,59,99,372,52,2077
"Richmond upon Thames","16:00:00","2018-09-24",87,2,0,11,0,100
"Wandsworth","16:00:00","2018-09-24",60,3,1,7,0,71
"Barnet","17:00:00","2018-09-24",946,38,34,137,6,1161
"Bexley","17:00:00","2018-09-24",2797,48,15,429,24,3313
"Croydon","17:00:00","2018-09-24",807,12,12,111,2,944
"Havering","17:00:00","2018-09-24",1245,14,39,239,13,1550
"Hillingdon","17:00:00","2018-09-24",166,4,0,19,0,189
"Islington","17:00:00","2018-09-24",103,15,0,29,3,150
"Kensington and Chelsea","17:00:00","2018-09-24",921,98,29,280,34,1362
"Lewisham","17:00:00","2018-09-24",1580,114,103,444,66,2307
"Richmond upon Thames","17:00:00","2018-09-24",94,1,0,6,0,101
"Wandsworth","17:00:00","2018-09-24",45,5,0,9,0,59
"Barnet","18:00:00","2018-09-24",927,30,36,105,3,1101
"Bexley","18:00:00","2018-09-24",2475,40,20,328,15,2878
"Croydon","18:00:00","2018-09-24",688,6,10,77,1,782
"Havering","18:00:00","2018-09-24",1303,10,42,141,6,1502
"Hillingdon","18:00:00","2018-09-24",167,1,0,16,0,184
"Islington","18:00:00","2018-09-24",121,22,0,20,0,163
"Kensington and Chelsea","18:00:00","2018-09-24",851,125,28,215,18,1237
"Lewisham","18:00:00","2018-09-24",1778,108,116,301,36,2339
"Richmond upon Thames","18:00:00","2018-09-24",70,3,0,7,1,81
"Wandsworth","18:00:00","2018-09-24",59,4,0,9,0,72
"Brent","07:00:00","2018-09-25",809,14,48,159,7,1037
"Hackney","07:00:00","2018-09-25",351,11,0,124,10,496
"Haringey","07:00:00","2018-09-25",404,11,13,93,4,525
"Hillingdon","07:00:00","2018-09-25",459,12,4,45,13,533
"Islington","07:00:00","2018-09-25",22,0,0,7,0,29
"Lambeth","07:00:00","2018-09-25",312,16,13,103,7,451
"Newham","07:00:00","2018-09-25",45,0,0,5,1,51
"Sutton","07:00:00","2018-09-25",700,28,7,164,36,935
"Tower Hamlets","07:00:00","2018-09-25",800,46,18,328,105,1297
"Brent","08:00:00","2018-09-25",1243,11,45,113,11,1423
"Hackney","08:00:00","2018-09-25",466,10,3,116,9,604
"Haringey","08:00:00","2018-09-25",378,5,13,65,9,470
"Hillingdon","08:00:00","2018-09-25",327,8,6,63,27,431
"Islington","08:00:00","2018-09-25",41,1,2,7,1,52
"Lambeth","08:00:00","2018-09-25",449,30,11,109,8,607
"Newham","08:00:00","2018-09-25",126,0,2,16,0,144
"Sutton","08:00:00","2018-09-25",739,21,7,121,35,923
"Tower Hamlets","08:00:00","2018-09-25",977,50,9,314,130,1480
"Brent","09:00:00","2018-09-25",776,10,39,97,12,934
"Hackney","09:00:00","2018-09-25",371,11,0,87,11,480
"Haringey","09:00:00","2018-09-25",287,6,11,63,10,377
"Hillingdon","09:00:00","2018-09-25",209,3,6,76,12,306
"Islington","09:00:00","2018-09-25",34,0,0,15,1,50
"Lambeth","09:00:00","2018-09-25",364,23,14,116,5,522
"Newham","09:00:00","2018-09-25",79,3,2,13,2,99
"Sutton","09:00:00","2018-09-25",694,14,16,173,69,966
"Tower Hamlets","09:00:00","2018-09-25",776,42,11,326,144,1299
"Brent","10:00:00","2018-09-25",665,16,34,114,14,843
"Hackney","10:00:00","2018-09-25",317,11,0,81,17,426
"Haringey","10:00:00","2018-09-25",235,5,10,57,11,318
"Hillingdon","10:00:00","2018-09-25",189,7,6,78,16,296
"Islington","10:00:00","2018-09-25",27,1,0,12,0,40
"Lambeth","10:00:00","2018-09-25",288,8,6,89,10,401
"Newham","10:00:00","2018-09-25",68,2,0,8,3,81
"Sutton","10:00:00","2018-09-25",667,11,20,175,39,912
"Tower Hamlets","10:00:00","2018-09-25",671,31,10,348,138,1198
"Brent","11:00:00","2018-09-25",723,23,35,123,21,925
"Hackney","11:00:00","2018-09-25",297,11,0,97,17,422
"Haringey","11:00:00","2018-09-25",260,7,10,81,10,368
"Hillingdon","11:00:00","2018-09-25",190,4,6,78,20,298
"Islington","11:00:00","2018-09-25",20,1,0,10,2,33
"Lambeth","11:00:00","2018-09-25",292,20,7,110,7,436
"Newham","11:00:00","2018-09-25",92,1,0,25,0,118
"Sutton","11:00:00","2018-09-25",618,14,13,161,45,851
"Tower Hamlets","11:00:00","2018-09-25",719,26,9,352,146,1252
"Brent","12:00:00","2018-09-25",659,20,28,112,18,837
"Hackney","12:00:00","2018-09-25",269,15,1,78,9,372
"Haringey","12:00:00","2018-09-25",287,9,12,77,1,386
"Hillingdon","12:00:00","2018-09-25",218,7,5,87,8,325
"Islington","12:00:00","2018-09-25",29,4,0,12,0,45
"Lambeth","12:00:00","2018-09-25",319,14,5,108,10,456
"Newham","12:00:00","2018-09-25",100,7,0,12,8,127
"Sutton","12:00:00","2018-09-25",644,13,12,158,33,860
"Tower Hamlets","12:00:00","2018-09-25",788,33,4,321,155,1301
"Brent","13:00:00","2018-09-25",694,22,32,121,19,888
"Hackney","13:00:00","2018-09-25",286,15,0,74,8,383
"Haringey","13:00:00","2018-09-25",264,4,8,73,8,357
"Hillingdon","13:00:00","2018-09-25",284,6,7,87,12,396
"Islington","13:00:00","2018-09-25",24,2,0,10,0,36
"Lambeth","13:00:00","2018-09-25",315,21,10,94,10,450
"Newham","13:00:00","2018-09-25",77,8,0,22,2,109
"Sutton","13:00:00","2018-09-25",702,11,11,148,31,903
"Tower Hamlets","13:00:00","2018-09-25",832,52,5,338,165,1392
"Brent","14:00:00","2018-09-25",729,18,43,111,15,916
"Hackney","14:00:00","2018-09-25",353,10,3,76,12,454
"Haringey","14:00:00","2018-09-25",239,12,11,57,7,326
"Hillingdon","14:00:00","2018-09-25",284,8,11,65,14,382
"Islington","14:00:00","2018-09-25",33,1,0,4,0,38
"Lambeth","14:00:00","2018-09-25",340,22,6,105,8,481
"Newham","14:00:00","2018-09-25",122,4,0,12,0,138
"Sutton","14:00:00","2018-09-25",733,12,11,169,40,965
"Tower Hamlets","14:00:00","2018-09-25",872,51,20,326,145,1414
"Brent","15:00:00","2018-09-25",839,20,39,91,14,1003
"Hackney","15:00:00","2018-09-25",402,13,1,92,12,520
"Haringey","15:00:00","2018-09-25",313,4,13,61,1,392
"Hillingdon","15:00:00","2018-09-25",268,13,16,67,8,372
"Islington","15:00:00","2018-09-25",40,2,1,9,1,53
"Lambeth","15:00:00","2018-09-25",372,24,8,110,12,526
"Newham","15:00:00","2018-09-25",142,9,0,16,2,169
"Sutton","15:00:00","2018-09-25",750,20,12,140,40,962
"Tower Hamlets","15:00:00","2018-09-25",1009,47,4,343,123,1526
"Brent","16:00:00","2018-09-25",929,27,46,115,1,1118
"Hackney","16:00:00","2018-09-25",418,18,2,104,17,559
"Haringey","16:00:00","2018-09-25",335,12,12,74,4,437
"Hillingdon","16:00:00","2018-09-25",270,6,9,62,8,355
"Islington","16:00:00","2018-09-25",51,1,0,11,0,63
"Lambeth","16:00:00","2018-09-25",376,24,11,132,5,548
"Newham","16:00:00","2018-09-25",180,3,0,20,5,208
"Sutton","16:00:00","2018-09-25",782,18,11,145,24,980
"Tower Hamlets","16:00:00","2018-09-25",1205,69,10,342,96,1722
"Brent","17:00:00","2018-09-25",1038,33,40,118,7,1236
"Hackney","17:00:00","2018-09-25",474,25,1,76,7,583
"Haringey","17:00:00","2018-09-25",408,21,11,58,0,498
"Hillingdon","17:00:00","2018-09-25",271,7,7,44,7,336
"Islington","17:00:00","2018-09-25",34,3,0,10,0,47
"Lambeth","17:00:00","2018-09-25",434,44,6,98,3,585
"Newham","17:00:00","2018-09-25",269,5,0,29,0,303
"Sutton","17:00:00","2018-09-25",844,25,12,122,14,1017
"Tower Hamlets","17:00:00","2018-09-25",1303,81,10,280,42,1716
"Brent","18:00:00","2018-09-25",939,23,32,110,0,1104
"Hackney","18:00:00","2018-09-25",556,22,0,76,12,666
"Haringey","18:00:00","2018-09-25",379,7,13,35,1,435
"Hillingdon","18:00:00","2018-09-25",207,5,9,29,2,252
"Islington","18:00:00","2018-09-25",47,6,0,4,0,57
"Lambeth","18:00:00","2018-09-25",424,40,5,68,2,539
"Newham","18:00:00","2018-09-25",211,11,0,21,3,246
"Sutton","18:00:00","2018-09-25",812,28,10,102,6,958
"Tower Hamlets","18:00:00","2018-09-25",1190,88,14,213,18,1523
"Bromley","07:00:00","2018-09-26",441,2,0,53,3,499
"Camden","07:00:00","2018-09-26",186,24,1,86,26,323
"Croydon","07:00:00","2018-09-26",582,27,22,180,10,821
"Ealing","07:00:00","2018-09-26",66,1,1,25,0,93
"Hillingdon","07:00:00","2018-09-26",330,6,3,34,2,375
"Kingston upon Thames","07:00:00","2018-09-26",103,1,4,14,1,123
"Lambeth","07:00:00","2018-09-26",107,3,0,37,5,152
"Richmond upon Thames","07:00:00","2018-09-26",1225,50,102,266,18,1661
"Bromley","08:00:00","2018-09-26",443,4,0,43,2,492
"Camden","08:00:00","2018-09-26",128,29,0,64,12,233
"Croydon","08:00:00","2018-09-26",674,22,25,204,9,934
"Ealing","08:00:00","2018-09-26",76,0,0,15,1,92
"Hillingdon","08:00:00","2018-09-26",522,1,4,28,0,555
"Kingston upon Thames","08:00:00","2018-09-26",190,2,6,14,0,212
"Lambeth","08:00:00","2018-09-26",200,9,1,55,7,272
"Richmond upon Thames","08:00:00","2018-09-26",1469,51,86,218,30,1854
"Bromley","09:00:00","2018-09-26",365,2,0,48,0,415
"Camden","09:00:00","2018-09-26",164,24,1,79,6,274
"Croydon","09:00:00","2018-09-26",499,5,18,104,6,632
"Ealing","09:00:00","2018-09-26",73,0,0,17,0,90
"Hillingdon","09:00:00","2018-09-26",171,1,0,29,5,206
"Kingston upon Thames","09:00:00","2018-09-26",109,3,6,16,0,134
"Lambeth","09:00:00","2018-09-26",152,15,0,44,4,215
"Richmond upon Thames","09:00:00","2018-09-26",1167,26,105,263,28,1589
"Bromley","10:00:00","2018-09-26",252,1,0,65,2,320
"Camden","10:00:00","2018-09-26",141,20,0,60,13,234
"Croydon","10:00:00","2018-09-26",412,10,21,87,5,535
